docID,organization,fullName
WOS:000529206200023,Naval Research Laboratory,"Klein, William P."
WOS:000529206200023,Naval Research Laboratory,"Buckhout-White, Susan"
WOS:000529206200023,Naval Research Laboratory,"Medintz, Igor L."
WOS:000529206200023,Naval Research Laboratory,"Diaz, Sebastian A."
WOS:000529206200023,Naval Research Laboratory,"Rolczynski, Brian S."
WOS:000529206200023,Naval Research Laboratory,"Ancona, Mario G."
WOS:000529206200023,Naval Research Laboratory,"Cunningham, Paul D."
WOS:000529206200023,Naval Research Laboratory,"Melinger, Joseph S."
WOS:000529206200023,George Mason University,"Oliver, Sean M."
WOS:000529206200023,George Mason University,"Vora, Patrick M."
WOS:000529206200023,Boise State University,"Zadegan, Reza"
WOS:000529206200023,North Carolina A&T State University,"Zadegan, Reza"
WOS:000529206200023,Boise State University,"Kuang, Wan"
WOS:000577624800072,North Carolina A&T State University,"Davis, Brittany D."
WOS:000577624800072,North Carolina A&T State University,"Mason, Janelle C."
WOS:000577624800072,North Carolina A&T State University,"Anwar, Mohd"
WOS:000572093100006,North Carolina A&T State University,"Sabahi, Sima"
WOS:000572093100006,Arizona State University-Tempe,"Parast, Mahour Mellat"
WOS:000544236100075,Tennessee Technological University,"Shafee, Ahmed"
WOS:000544236100075,Tennessee Technological University,"Baza, Mohamed"
WOS:000544236100075,Tennessee Technological University,"Fouda, Mostafa M."
WOS:000544236100075,Tennessee Technological University,"Mahmoud, Mohamed"
WOS:000544236100075,Tennessee Technological University,"Talbert, Douglas A."
WOS:000544236100075,Benha University,"Fouda, Mostafa M."
WOS:000544236100075,North Carolina A&T State University,"Nabil, Mahmoud"
WOS:000567609700047,Tennessee Technological University,"Gupta, Maanak"
WOS:000567609700047,Manhattan College,"Abdelsalam, Mahmoud"
WOS:000567609700047,North Carolina A&T State University,"Khorsandroo, Sajad"
WOS:000567609700047,University of North Carolina Wilmington,"Mittal, Sudip"
WOS:000562068700001,Prairie View A&M University,"Adesina, Damilola"
WOS:000562068700001,Prairie View A&M University,"Bassey, Joshua"
WOS:000562068700001,Prairie View A&M University,"Qian, Lijun"
WOS:000588926100001,Prairie View A&M University,"Kotteti, Chandra Mouli Madhav"
WOS:000588926100001,Prairie View A&M University,"Dong, Xishuang"
WOS:000588926100001,Prairie View A&M University,"Qian, Lijun"
WOS:000541136100001,Prairie View A&M University,"Omotere, Oluwaseyi"
WOS:000541136100001,Prairie View A&M University,"Li, Xiangfang"
WOS:000541136100001,Prairie View A&M University,"Qian, Lijun"
WOS:000541136100001,Prairie View A&M University,"Yang, Bo"
WOS:000541136100001,University of Houston,"Cao, Xuelin"
WOS:000541136100001,University of Houston,"Han, Zhu"
WOS:000541136100001,Kyung Hee University,"Han, Zhu"
WOS:000564113700001,Florida State University,"Meyer-Base, Anke"
WOS:000564113700001,Florida State University,"Tahmassebi, Amirhessam"
WOS:000564113700001,Maastricht University,"Meyer-Base, Anke"
WOS:000564113700001,Maastricht University,"Lobbes, Marc"
WOS:000564113700001,Polytechnic University of Turin,"Morra, Lia"
WOS:000564113700001,Florida A&M University,"Meyer-Base, Uwe"
WOS:000564113700001,Florida State University,"Meyer-Base, Uwe"
WOS:000564113700001,Memorial Sloan Kettering Cancer Center,"Pinker, Katja"
WOS:000564113700001,Medical University of Vienna,"Pinker, Katja"
WOS:000564113700001,Zuyderland Med Ctr,"Lobbes, Marc"
WOS:000588187900001,Inst Publ Hlth,"Okere, Arinze Nkemdirim"
WOS:000588187900001,University of Florida,"Sanogo, Vassiki"
WOS:000588187900001,Najran University,"Alqhtani, Hussain"
WOS:000588187900001,University of Florida,"Alqhtani, Hussain"
WOS:000588187900001,University of Florida,"Diaby, Vakaramoko"
WOS:000588187900001,Florida A&M University,"Okere, Arinze Nkemdirim"
WOS:000535739300060,Florida A&M University,"Ologunagba, Damilola"
WOS:000535739300060,Florida A&M University,"Kattel, Shyam"
WOS:000541688200001,Manhattan College,"Igwe, Ogbonna Michael"
WOS:000541688200001,Manhattan College,"Wang, Yi"
WOS:000541688200001,Manhattan College,"Giakos, George C."
WOS:000541688200001,Alabama A&M University,"Fu, Jian"
